"Player Name","Position","Rank","NumTeamExp","Team Name","Height","Weight","Age","College","Bye","IMG","Drafted"
"Isaiah Mckenzie","WR",,"6","Buffalo Bills","5-8","173lbs","27","Georgia",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2131587.png?width=160","False"
"Romeo Doubs","WR",,"","Green Bay Packers","6-2","204lbs","22","Nevada",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2961886.png?width=160","False"
"Russell Gage","WR",,"5","Tampa Bay Buccaneers","6-0","184lbs","26","LSU",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2131694.png?width=160","False"
"Dj Moore","WR",,"5","Carolina Panthers","6-0","210lbs","25","Maryland",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2179328.png?width=160","False"
"Mike Evans","WR",,"9","Tampa Bay Buccaneers","6-5","231lbs","29","Texas A&amp;M",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1824909.png?width=160","False"
"Dk Metcalf","WR",,"4","Seattle Seahawks","6-4","235lbs","24","Ole Miss",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2260185.png?width=160","False"
"Amari Cooper","WR",,"8","Cleveland Browns","6-1","210lbs","28","Alabama",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1984220.png?width=160","False"
"Brandin Cooks","WR",,"9","Houston Texans","5-10","183lbs","28","Oregon St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1880880.png?width=160","False"
"Deandre Hopkins","WR",,"9","Arizona Cardinals","6-1","212lbs","30","Clemson",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1737078.png?width=160","False"
"Julio Jones","WR",,"12","Tampa Bay Buccaneers","6-3","220lbs","33","Alabama",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1623794.png?width=160","False"
"Michael Gallup","WR",,"5","Dallas Cowboys","6-1","205lbs","26","Colorado St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2240415.png?width=160","False"
"Christian Watson","WR",,"","Green Bay Packers","6-5","208lbs","23","N. Dakota St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2869806.png?width=160","False"
"Devonta Smith","WR",,"2","Philadelphia Eagles","6-0","170lbs","23","Alabama",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2866975.png?width=160","False"
"Juju Smithschuster","WR",,"6","Kansas City Chiefs","6-1","215lbs","25","USC",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2139620.png?width=160","False"
"Kadarius Toney","WR",,"2","New York Giants","6-0","193lbs","23","Florida",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2767487.png?width=160","False"
"Tyler Lockett","WR",,"8","Seattle Seahawks","5-10","182lbs","29","Kansas St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1860834.png?width=160","False"
"Jakobi Meyers","WR",,"4","New England Patriots","6-2","200lbs","25","NC State",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2183835.png?width=160","False"
"Skyy Moore","WR",,"","Kansas City Chiefs","5-10","195lbs","21","W. Michigan",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/3126874.png?width=160","False"
"Keenan Allen","WR",,"10","Los Angeles Chargers","6-2","211lbs","30","California",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1737096.png?width=160","False"
"Chase Claypool","WR",,"3","Pittsburgh Steelers","6-4","238lbs","24","Notre Dame",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2260676.png?width=160","False"
"Tee Higgins","WR",,"3","Cincinnati Bengals","6-4","219lbs","23","Clemson",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2809208.png?width=160","False"
"Cooper Kupp","WR",,"6","Los Angeles Rams","6-2","208lbs","29","E. Washington",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2006951.png?width=160","False"
"Stefon Diggs","WR",,"8","Buffalo Bills","6-0","191lbs","28","Maryland",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2000038.png?width=160","False"
"Dj Chark","WR",,"5","Detroit Lions","6-4","205lbs","25","LSU",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2131689.png?width=160","False"
"Jaylen Waddle","WR",,"2","Miami Dolphins","5-10","182lbs","23","Alabama",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2962110.png?width=160","False"
"George Pickens","WR",,"","Pittsburgh Steelers","6-3","200lbs","21","Georgia",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/3123212.png?width=160","False"
"Aj Brown","WR",,"4","Philadelphia Eagles","6-1","226lbs","25","Ole Miss",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2258303.png?width=160","False"
"Rashod Bateman","WR",,"2","Baltimore Ravens","6-1","193lbs","22","Minnesota",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2960940.png?width=160","False"
"Allen Lazard","WR",,"4","Green Bay Packers","6-5","227lbs","26","Iowa St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2141655.png?width=160","False"
"Brandon Aiyuk","WR",,"3","San Francisco 49ers","6-0","200lbs","24","Arizona St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2967489.png?width=160","False"
"Marquez Valdesscantling","WR",,"5","Kansas City Chiefs","6-4","206lbs","27","South Florida",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2071540.png?width=160","False"
