"Player Name","Season","RUATT","RUYD","RUTD","RECPT","REYD","RETD","FPTS"
"James Conner","2017","32","144","0","0","0","0","14"
"Mike Davis","2021","0","0","0","0","0","0","0"
"Mike Davis","2020","165","642","6","59","373","2","147"
"Mike Davis","2019","13","27","0","7","22","0","4"
"Mike Davis","2018","112","514","4","34","214","1","102"
"Mike Davis","2017","68","240","0","15","131","0","37"
"Mike Davis","2016","19","50","1","3","25","0","11"
"Mike Davis","2015","35","58","0","7","38","0","8"
"Damien Harris","2021","0","0","0","0","0","0","0"
"Damien Harris","2020","137","691","2","5","52","0","86"
"Damien Harris","2019","4","12","0","0","0","0","1"
"Melvin Gordon","2021","0","0","0","0","0","0","0"
"Melvin Gordon","2020","215","986","9","32","158","1","165"
"Melvin Gordon","2019","162","612","8","42","296","1","138"
"Melvin Gordon","2018","175","885","10","50","490","4","225"
"Melvin Gordon","2017","284","1105","8","58","476","4","229"
"Melvin Gordon","2016","254","997","10","41","419","2","208"
"Melvin Gordon","2015","184","641","0","33","192","0","75"
"Clyde Edwardshelaire","2021","0","0","0","0","0","0","0"
"Clyde Edwardshelaire","2020","181","803","4","36","297","1","139"
"Ronald Jones","2021","0","0","0","0","0","0","0"
"Ronald Jones","2020","192","978","7","28","165","1","157"
"Ronald Jones","2019","172","724","6","31","309","0","134"
"Ronald Jones","2018","23","44","1","7","33","0","13"
"Alvin Kamara","2021","0","0","0","0","0","0","0"
"Alvin Kamara","2020","187","932","16","83","756","5","294"
"Alvin Kamara","2019","171","797","5","81","533","1","166"
"Alvin Kamara","2018","194","883","14","81","709","4","272"
"Alvin Kamara","2017","120","728","8","81","826","5","232"
"Dandre Swift","2021","0","0","0","0","0","0","0"
"Dandre Swift","2020","114","521","8","46","357","2","143"
"Raheem Mostert","2021","0","0","0","0","0","0","0"
"Raheem Mostert","2020","104","521","2","16","156","1","83"
"Raheem Mostert","2019","137","772","8","14","180","2","151"
"Raheem Mostert","2018","34","261","1","6","25","0","32"
"Raheem Mostert","2017","6","30","0","0","0","0","1"
"Raheem Mostert","2016","1","6","0","0","0","0","0"
"Raheem Mostert","2015","0","0","0","0","0","0","-2"
"David Johnson","2021","0","0","0","0","0","0","0"
"David Johnson","2020","147","691","6","33","314","2","146"
"David Johnson","2019","94","345","2","36","370","4","105"
"David Johnson","2018","258","940","7","50","446","3","196"
"David Johnson","2017","11","23","0","6","67","0","6"
"David Johnson","2016","293","1239","16","80","879","4","326"
"David Johnson","2015","125","581","8","36","457","4","173"
"Saquon Barkley","2021","0","0","0","0","0","0","0"
"Saquon Barkley","2020","19","34","0","6","60","0","9"
"Saquon Barkley","2019","217","1003","6","52","438","2","191"
"Saquon Barkley","2018","261","1307","11","91","721","4","294"
"Darrel Williams","2021","0","0","0","0","0","0","0"
"Darrel Williams","2020","39","169","1","18","116","0","35"
"Darrel Williams","2019","41","141","3","15","167","1","52"
"Darrel Williams","2018","13","44","0","3","27","1","12"
"Darrell Henderson","2021","0","0","0","0","0","0","0"
"Darrell Henderson","2020","138","624","5","16","159","1","113"
"Darrell Henderson","2019","39","147","0","4","37","0","17"
"Alexander Mattison","2021","0","0","0","0","0","0","0"
"Alexander Mattison","2020","96","434","2","13","125","1","73"
"Alexander Mattison","2019","100","462","1","10","82","0","58"
"Nyheim Hines","2021","0","0","0","0","0","0","0"
"Nyheim Hines","2020","89","380","3","63","482","4","130"
"Nyheim Hines","2019","52","199","2","44","320","0","61"
"Nyheim Hines","2018","85","314","2","63","425","2","97"
"Aaron Jones","2021","0","0","0","0","0","0","0"
"Aaron Jones","2020","201","1104","9","47","355","2","211"
"Aaron Jones","2019","236","1084","16","49","474","3","265"
"Aaron Jones","2018","133","728","8","26","206","1","144"
"Aaron Jones","2017","81","448","4","9","22","0","70"
"Dalvin Cook","2021","0","0","0","0","0","0","0"
"Dalvin Cook","2020","312","1557","16","44","361","1","293"
"Dalvin Cook","2019","250","1135","13","53","519","0","238"
"Dalvin Cook","2018","133","615","2","40","305","2","111"
"Dalvin Cook","2017","74","354","2","11","90","0","54"
"Boston Scott","2021","0","0","0","0","0","0","0"
"Boston Scott","2020","80","374","1","25","212","1","70"
"Boston Scott","2019","61","245","5","24","204","0","72"
"Boston Scott","2018","0","0","0","0","0","0","0"
"Jonathan Taylor","2021","0","0","0","0","0","0","0"
