"Player Name","Position","Rank","NumTeamExp","Team Name","Height","Weight","Age","College","Bye","IMG"
"Clyde Edwardshelaire","RB","15","#25 RB / Kansas City Chiefs / EXP: 2YRS ","Kansas City Chiefs","Height: 5-7 ","Weight: 207 lb ","Age: 22 ","College: LSU ","Bye 12 ","https://sportshub.cbsistatic.com/i/r/2020/09/10/9cf00dff-8213-49a0-b3ef-a1582e27c3c5/thumbnail/100x100/89ddf2357531d665f50aee36c2f6609f/2804554.png"
"Ronald Jones","RB","33","#27 RB / Tampa Bay Buccaneers / EXP: 4YRS ","Tampa Bay Buccaneers","Height: 5-11 ","Weight: 208 lb ","Age: 24 ","College: USC ","Bye 9 ","https://sportshub.cbsistatic.com/i/r/2021/08/18/dafc3dd8-9f8a-48e8-b01b-1ecbe24b958c/thumbnail/100x100/574a083363b66eddd14521aa976125a5/2180329.png"
"Alvin Kamara","RB","5","#41 RB / New Orleans Saints / EXP: 5YRS ","New Orleans Saints","Height: 5-10 ","Weight: 215 lb ","Age: 26 ","College: Tennessee ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2021/08/19/a6f9b745-9104-4e70-9137-a961c8a73519/thumbnail/100x100/5e1fbe94e025c0c518f98df606d2a544/2082721.png"
"Dandre Swift","RB","21","#32 RB / Detroit Lions / EXP: 2YRS ","Detroit Lions","Height: 5-9 ","Weight: 215 lb ","Age: 22 ","College: Georgia ","Bye 9 ","https://sportshub.cbsistatic.com/i/r/2021/07/12/23b9c7ba-7905-42aa-bceb-c921f336197d/thumbnail/100x100/7d9827a480e4e22eaa6148e54576f92f/2871710.png"
"Raheem Mostert","RB","29","#31 RB / San Francisco 49ers / EXP: 7YRS ","San Francisco 49ers","Height: 5-10 ","Weight: 205 lb ","Age: 29 ","College: Purdue ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/bc294d84-2b69-44f2-93d0-e6d64f3d5fbf/thumbnail/100x100/df59c5dfdcf7e73aaf99865ccf2d2e90/2174957.png"
"David Johnson","RB","NR","#31 RB / Houston Texans / EXP: 7YRS ","Houston Texans","Height: 6-1 ","Weight: 224 lb ","Age: 29 ","College: Northern Iowa ","Bye 10 ","https://sportshub.cbsistatic.com/i/r/2020/09/07/3f6c979b-842d-43a3-8dda-32a5784e1be9/thumbnail/100x100/1b25af54c6ab5d3929f25b6034d60553/1760290.png"
"Saquon Barkley","RB","12","#26 RB / N.Y. Giants / EXP: 4YRS ","New York Giants ","Height: 5-11 ","Weight: 233 lb ","Age: 24 ","College: Penn State ","Bye 10 ","https://sportshub.cbsistatic.com/i/r/2020/09/10/50ccb60f-7322-41ad-8ac3-6e5d914ebfbb/thumbnail/100x100/e35f3aaf19447cdc7ba8cbc76d85ee6c/2185957.png"
"Darrel Williams","RB","53","#31 RB / Kansas City Chiefs / EXP: 4YRS ","Kansas City Chiefs","Height: 5-11 ","Weight: 224 lb ","Age: 26 ","College: LSU ","Bye 12 ","https://sportshub.cbsistatic.com/i/r/2020/09/10/59d8e237-f371-4d97-8bcb-0a1c1397020b/thumbnail/100x100/496e2f07974f8eb259126ed3bbb16586/2131714.png"
"Najee Harris","RB","11","#22 RB / Pittsburgh Steelers / EXP: 0YRS ","Pittsburgh Steelers","Height: 6-2 ","Weight: 230 lb ","Age: 23 ","College: Alabama ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/08/27/2f559e50-d079-4dfa-9c74-60c1071020b3/thumbnail/100x100/b0a6a771ea400016df1f4bd28f7d7969/2741200.png"
"Darrell Henderson","RB","27","#27 RB / L.A. Rams / EXP: 3YRS ","Los Angeles Rams ","Height: 5-8 ","Weight: 208 lb ","Age: 24 ","College: Memphis ","Bye 11 ","https://sportshub.cbsistatic.com/i/r/2021/07/26/fe8f7114-9487-4639-bb22-faaed24a20ac/thumbnail/100x100/f1588abd34dfa69b771f1b1fb4d7d175/2240590.png"
"Alexander Mattison","RB","50","#25 RB / Minnesota Vikings / EXP: 3YRS ","Minnesota Vikings","Height: 5-11 ","Weight: 220 lb ","Age: 23 ","College: Boise State ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/08/31/1da05e78-b4f5-40fb-a3e6-885e92f370d5/thumbnail/100x100/caaea5ef7cea90e978fbf6f120cd1eb5/2257933.png"
"Nyheim Hines","RB","NR","#21 RB / Indianapolis Colts / EXP: 4YRS ","Indianapolis Colts","Height: 5-9 ","Weight: 196 lb ","Age: 24 ","College: NC State ","Bye 14 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/dc4cc111-99a2-449f-a970-3481c3d02d06/thumbnail/100x100/926487e4a70b2f38aec65094c96874c6/2183832.png"
"Aaron Jones","RB","6","#33 RB / Green Bay Packers / EXP: 5YRS ","Green Bay Packers","Height: 5-9 ","Weight: 208 lb ","Age: 26 ","College: UTEP ","Bye 13 ","https://sportshub.cbsistatic.com/i/r/2021/07/28/76d9a59c-ee14-4a30-a229-a7b9705ab8de/thumbnail/100x100/5631a6d53d838cecb301d0d0c8f83c43/2071937.png"
"Dalvin Cook","RB","3","#33 RB / Minnesota Vikings / EXP: 5YRS ","Minnesota Vikings","Height: 5-10 ","Weight: 210 lb ","Age: 26 ","College: Florida State ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/08/28/1e151b44-01c2-40a6-b962-e1a284b000a2/thumbnail/100x100/ce0d95336071bf2c2b22cbea8724c22b/2130893.png"
"Boston Scott","RB","57","#35 RB / Philadelphia Eagles / EXP: 3YRS ","Philadelphia Eagles","Height: 5-6 ","Weight: 203 lb ","Age: 26 ","College: Louisiana Tech ","Bye 14 ","https://sportshub.cbsistatic.com/i/r/2020/09/09/6041b9a9-a84b-427a-a8d0-7080f244b4d0/thumbnail/100x100/70d3fa5ebc39957160000f9d5a1f99b5/2079334.png"
"Jonathan Taylor","RB","7","#28 RB / Indianapolis Colts / EXP: 2YRS ","Indianapolis Colts","Height: 5-10 ","Weight: 226 lb ","Age: 22 ","College: Wisconsin ","Bye 14 ","https://sportshub.cbsistatic.com/i/r/2020/09/12/29511d58-dffe-4ca1-a2d0-d3032957b146/thumbnail/100x100/de9c25149b04919e6baf53db953c4c9b/2866395.png"
"Tony Pollard","RB","39","#20 RB / Dallas Cowboys / EXP: 3YRS ","Dallas Cowboys","Height: 6-0 ","Weight: 210 lb ","Age: 24 ","College: Memphis ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/07/27/007bb194-6095-437e-989e-e5196500a375/thumbnail/100x100/97f0807fee389bc1808e03f654651496/2184011.png"
"Damien Williams","RB","NR","#8 RB / Chicago Bears / EXP: 7YRS ","Chicago Bears","Height: 5-11 ","Weight: 221 lb ","Age: 29 ","College: Oklahoma ","Bye 10 ","https://sportshub.cbsistatic.com/i/r/2021/09/02/aff322e9-9c95-4bc1-915d-a9d96bc7cc2f/thumbnail/100x100/0f45d99912bc93fe50cffa2c503ada0a/2130689.png"
"Zack Moss","RB","43","#20 RB / Buffalo Bills / EXP: 2YRS ","Buffalo Bills","Height: 5-9 ","Weight: 205 lb ","Age: 23 ","College: Utah ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/08/16/e9919981-6561-41d4-a55a-acdd53c1d22f/thumbnail/100x100/52b34520a02a73a8c2b917bb63ec1426/2240516.png"
"Kenneth Gainwell","RB","NR","#14 RB / Philadelphia Eagles / EXP: 0YRS ","Philadelphia Eagles","Height: 5-9 ","Weight: 200 lb ","Age: 22 ","College: Memphis ","Bye 14 ","https://sportshub.cbsistatic.com/i/r/2021/08/20/e2ea7e21-4911-4424-a3c4-915268bd8da0/thumbnail/100x100/9a1bb3075ff07a3a0ab2c749c21ebc50/2968948.png"
"Kareem Hunt","RB","26","#27 RB / Cleveland Browns / EXP: 5YRS ","Cleveland Browns","Height: 5-11 ","Weight: 216 lb ","Age: 26 ","College: Toledo ","Bye 13 ","https://sportshub.cbsistatic.com/i/r/2020/08/21/e2a4fce0-604d-4af3-81a4-9f8b5b73b137/thumbnail/100x100/0afd4c4b3d0a8856b7cec4ec2e68b6d0/2079567.png"
"James Robinson","RB","16","#30 RB / Jacksonville Jaguars / EXP: 2YRS ","Jacksonville Jaguars","Height: 5-9 ","Weight: 219 lb ","Age: 23 ","College: Illinois State ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/08/11/1944d26c-0fe6-402a-a844-1273f07a86a6/thumbnail/100x100/1baf2f93469efefa62da3292ce4610cf/2257036.png"
"Javonte Williams","RB","25","#33 RB / Denver Broncos / EXP: 0YRS ","Denver Broncos","Height: 5-10 ","Weight: 220 lb ","Age: 21 ","College: North Carolina ","Bye 11 ","https://sportshub.cbsistatic.com/i/r/2021/08/25/32ea51b1-3ea3-4b22-929a-55f0e8de9dda/thumbnail/100x100/ef181fdf70c1e968240f5a1fed784444/2961719.png"
"Gus Edwards","RB","23","#35 RB / Baltimore Ravens / EXP: 4YRS ","Baltimore Ravens","Height: 6-1 ","Weight: 238 lb ","Age: 26 ","College: Rutgers ","Bye 8 ","https://sportshub.cbsistatic.com/i/r/2020/08/31/5d4ff9d2-4f3f-44a7-8ec8-cb226b613c30/thumbnail/100x100/d73a4ae9de905d3feb246db548559971/2925410.png"
"Carlos Hyde","RB","NR","#24 RB / Jacksonville Jaguars / EXP: 8YRS ","Jacksonville Jaguars","Height: 6-0 ","Weight: 229 lb ","Age: 30 ","College: Ohio State ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/08/11/f240d1d4-1887-4ddb-8e57-64e9fe3ca288/thumbnail/100x100/c4e41ff13740900e43f69bdfca271f03/1751883.png"
