"Player Name","Position","Rank","NumTeamExp","Team Name","Height","Weight","Age","College","IMG","Drafted"
"Rashaad Penny","RB","42","#23  / Philadelphia Eagles / EXP: 6YRS","Philadelphia Eagles","5-11","220lbs","27","San Diego St.","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Kyren Williams","RB","0","#23  / Los Angeles Rams / EXP: 2YRS","Los Angeles Rams","5-9","195lbs","23","Notre Dame","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Clyde Edwardshelaire","RB","0","#25  / Kansas City Chiefs / EXP: 4YRS","Kansas City Chiefs","5-7","207lbs","24","LSU","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Nick Chubb","RB","8","#24  / Cleveland Browns / EXP: 6YRS","Cleveland Browns","5-11","227lbs","27","Georgia","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Aj Dillon","RB","31","#28  / Green Bay Packers / EXP: 4YRS","Green Bay Packers","6-0","247lbs","25","Boston College","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Brian Robinson Jr","RB","29","#8  / Washington Commanders / EXP: 2YRS","Washington Commanders","6-1","228lbs","24","Alabama","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Bijan Robinson","RB","0","#7  / Atlanta Falcons / EXP: YRS","Atlanta Falcons","5-11","215lbs","21","Texas","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Dalvin Cook","RB","34","#4  / New York Jets / EXP: 7YRS","New York Jets","5-10","210lbs","28","Florida State","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"James Cook","RB","21","#4  / Buffalo Bills / EXP: 2YRS","Buffalo Bills","5-11","190lbs","23","Georgia","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Miles Sanders","RB","16","#6  / Carolina Panthers / EXP: 5YRS","Carolina Panthers","5-11","211lbs","26","Penn State","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Aaron Jones","RB","13","#33  / Green Bay Packers / EXP: 7YRS","Green Bay Packers","5-9","208lbs","28","UTEP","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"James Conner","RB","17","#6  / Arizona Cardinals / EXP: 7YRS","Arizona Cardinals","6-1","233lbs","28","Pittsburgh","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Samaje Perine","RB","36","#25  / Denver Broncos / EXP: 7YRS","Denver Broncos","5-11","235lbs","27","Oklahoma","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Alvin Kamara","RB","22","#41  / New Orleans Saints / EXP: 7YRS","New Orleans Saints","5-10","215lbs","28","Tennessee","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
